[2024-12-10 15:15:09.897][info   ][Gin] | 127.0.0.1 | 200 |   38ms | GET | /ping/ | Errors: None
[2024-12-10 15:21:27.222][info   ][Gin] | 127.0.0.1 | 200 |   38ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:27.396][info   ][Gin] | 127.0.0.1 | 200 |   34ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:27.779][info   ][Gin] | 127.0.0.1 | 200 |   35ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:28.028][info   ][Gin] | 127.0.0.1 | 200 |   36ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:28.206][info   ][Gin] | 127.0.0.1 | 200 |   33ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:28.393][info   ][Gin] | 127.0.0.1 | 200 |   34ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:28.590][info   ][Gin] | 127.0.0.1 | 200 |   35ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:28.789][info   ][Gin] | 127.0.0.1 | 200 |   33ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:28.969][info   ][Gin] | 127.0.0.1 | 200 |   32ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:29.144][info   ][Gin] | 127.0.0.1 | 200 |   35ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:29.329][info   ][Gin] | 127.0.0.1 | 200 |   33ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:29.519][info   ][Gin] | 127.0.0.1 | 200 |   36ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:29.699][info   ][Gin] | 127.0.0.1 | 200 |   35ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
[2024-12-10 15:21:29.881][info   ][Gin] | 127.0.0.1 | 200 |   37ms | GET | /ping/userphone=15345923407&itemstatus=2 | Errors: None
